nodeid	pagerank
1647	0.000146
1648	0.000148
1649	0.000136
1650	0.000121
1651	0.000115
1652	0.000222
1653	0.000215
1654	0.000109
1655	0.000148
1656	0.000138
1657	0.000115
1658	0.000125
1659	0.000223
1660	0.000119
1661	0.000168
1662	0.000305
1663	0.000388
1664	0.000115
1665	0.000279
1666	0.000138
1667	0.000119
1668	0.000276
1669	0.000288
1670	0.000119
1671	0.000122
1672	0.000119
1673	0.000126
1674	0.000133
1675	0.000255
1676	0.000117
1677	0.000125
1678	0.000127
1679	0.000120
1680	0.000154
1681	0.000118
1682	0.000135
1683	0.000268
1684	0.000347
1685	0.000234
1686	0.000125
1687	0.000136
1688	0.000221
1689	0.000270
1690	0.000106
1691	0.000149
1692	0.000131
1693	0.000112
1694	0.000122
1695	0.000122
1696	0.000112
1697	0.000114
1698	0.000120
1699	0.000127
1700	0.000126
1701	0.000110
1702	0.000147
1703	0.000139
1704	0.000122
1705	0.000125
1706	0.000132
1707	0.000336
1708	0.000111
1709	0.000137
1710	0.000125
1711	0.000109
1712	0.000246
1713	0.000107
1714	0.000336
1715	0.000154
1716	0.000147
1717	0.000280
1718	0.000264
1719	0.000119
1720	0.000141
1721	0.000260
1722	0.000169
1723	0.000180
1724	0.000173
1725	0.000131
1726	0.000123
1727	0.000124
1728	0.000127
1729	0.000152
1730	0.000356
1731	0.000109
1732	0.000135
1733	0.000166
1734	0.000175
1735	0.000248
1736	0.000296
1737	0.000210
1738	0.000119
1739	0.000114
1740	0.000124
1741	0.000233
1742	0.000150
1743	0.000117
1744	0.000124
1745	0.000116
1746	0.000334
1747	0.000142
1748	0.000111
1749	0.000110
1750	0.000260
1751	0.000136
1752	0.000243
1753	0.000210
1754	0.000169
1755	0.000106
1756	0.000112
1757	0.000264
1758	0.000130
1759	0.000108
1760	0.000111
1761	0.000244
1762	0.000107
1763	0.000122
1764	0.000121
1765	0.000179
1766	0.000126
1767	0.000122
1768	0.000327
1769	0.000130
1770	0.000130
1771	0.000128
1772	0.000179
1773	0.000116
1774	0.000147
1775	0.000114
1776	0.000114
1777	0.000108
1778	0.000125
1779	0.000119
1780	0.000122
1781	0.000122
1782	0.000185
1783	0.000179
1784	0.000134
1785	0.000121
1786	0.000168
1787	0.000162
1788	0.000111
1789	0.000225
1790	0.000125
1791	0.000257
1792	0.000109
1793	0.000275
1794	0.000141
1795	0.000206
1796	0.000191
1797	0.000109
1798	0.000154
1799	0.000276
1800	0.000352
1801	0.000115
1802	0.000124
1803	0.000121
1804	0.000312
1805	0.000125
1806	0.000123
1807	0.000135
1808	0.000125
1809	0.000229
1810	0.000220
1811	0.000176
1812	0.000135
1813	0.000266
1814	0.000109
1815	0.000116
1816	0.000249
1817	0.000116
1818	0.000126
1819	0.000196
1820	0.000148
1821	0.000138
1822	0.000110
1823	0.000262
1824	0.000142
1825	0.000120
1826	0.000225
1827	0.000325
1828	0.000140
1829	0.000113
1830	0.000115
1831	0.000123
1832	0.000156
1833	0.000321
1834	0.000104
1835	0.000303
1836	0.000126
1837	0.000154
1838	0.000109
1839	0.000289
1840	0.000109
1841	0.000130
1842	0.000243
1843	0.000148
1844	0.000138
1845	0.000207
1846	0.000136
1847	0.000120
1848	0.000127
1849	0.000244
1850	0.000122
1851	0.000139
1852	0.000117
1853	0.000110
1854	0.000106
1855	0.000108
1856	0.000109
1857	0.000150
1858	0.000123
1859	0.000132
1860	0.000118
1861	0.000206
1862	0.000137
1863	0.000149
1864	0.000221
1865	0.000109
1866	0.000123
1867	0.000234
