d=0.85, epsilon=1e-7, iter 70
nodeid	pagerank
1397	0.000123
1398	0.000191
1399	0.000387
1400	0.000125
1401	0.000131
1402	0.000249
1403	0.000115
1404	0.000159
1405	0.000177
1406	0.000137
1407	0.000167
1408	0.000137
1409	0.000296
1410	0.000128
1411	0.000127
1412	0.000125
1413	0.000167
1414	0.000113
1415	0.000126
1416	0.000305
1417	0.000111
1418	0.000120
1419	0.000138
1420	0.000358
1421	0.000130
1422	0.000120
1423	0.000169
1424	0.000126
1425	0.000135
1426	0.000170
1427	0.000152
1428	0.000122
1429	0.000133
1430	0.000103
1431	0.000423
1432	0.000159
1433	0.000128
1434	0.000124
1435	0.000164
1436	0.000136
1437	0.000209
1438	0.000138
1439	0.000157
1440	0.000146
1441	0.000120
1442	0.000115
1443	0.000109
1444	0.000139
1445	0.000143
1446	0.000128
1447	0.000334
1448	0.000156
1449	0.000268
1450	0.000135
1451	0.000129
1452	0.000174
1453	0.000124
1454	0.000142
1455	0.000107
1456	0.000327
1457	0.000229
1458	0.000157
1459	0.000196
1460	0.000186
1461	0.000111
1462	0.000180
1463	0.000126
1464	0.000120
1465	0.000244
1466	0.000103
1467	0.000317
1468	0.000166
1469	0.000142
1470	0.000229
1471	0.000367
1472	0.000159
1473	0.000138
1474	0.000107
1475	0.000170
1476	0.000111
1477	0.000115
1478	0.000114
1479	0.000180
1480	0.000253
1481	0.000117
1482	0.000135
1483	0.000268
1484	0.000139
1485	0.000190
1486	0.000110
1487	0.000146
1488	0.000319
1489	0.000130
1490	0.000113
1491	0.000321
1492	0.000110
1493	0.000155
1494	0.000130
1495	0.000164
1496	0.000134
1497	0.000129
1498	0.000113
1499	0.000120
1500	0.000121
1501	0.000128
1502	0.000166
1503	0.000128
1504	0.000139
1505	0.000163
1506	0.000109
1507	0.000126
1508	0.000136
1509	0.000320
1510	0.000104
1511	0.000135
1512	0.000125
1513	0.000185
1514	0.000127
1515	0.000165
1516	0.000363
1517	0.000171
1518	0.000122
1519	0.000156
1520	0.000301
1521	0.000111
1522	0.000347
1523	0.000215
1524	0.000185
1525	0.000140
1526	0.000119
1527	0.000117
1528	0.000222
1529	0.000132
1530	0.000291
1531	0.000119
1532	0.000176
1533	0.000168
1534	0.000145
1535	0.000214
1536	0.000151
1537	0.000123
1538	0.000231
1539	0.000246
1540	0.000202
1541	0.000121
1542	0.000203
1543	0.000124
1544	0.000119
1545	0.000128
1546	0.000109
1547	0.000303
1548	0.000168
1549	0.000131
1550	0.000140
1551	0.000351
1552	0.000111
1553	0.000149
1554	0.000342
1555	0.000135
1556	0.000145
1557	0.000325
1558	0.000103
1559	0.000364
1560	0.000103
1561	0.000127
1562	0.000123
1563	0.000281
1564	0.000120
1565	0.000132
1566	0.000115
1567	0.000131
1568	0.000155
1569	0.000144
1570	0.000285
1571	0.000209
1572	0.000175
1573	0.000179
1574	0.000140
1575	0.000117
1576	0.000162
1577	0.000291
1578	0.000135
1579	0.000107
1580	0.000246
1581	0.000103
1582	0.000141
1583	0.000183
1584	0.000374
1585	0.000122
1586	0.000105
1587	0.000151
1588	0.000124
1589	0.000375
1590	0.000231
1591	0.000180
1592	0.000123
1593	0.000130
1594	0.000120
1595	0.000139
1596	0.000164
1597	0.000275
1598	0.000294
1599	0.000110
1600	0.000273
1601	0.000157
1602	0.000110
1603	0.000314
1604	0.000300
1605	0.000236
1606	0.000123
1607	0.000112
